"qseqid","sseqid","pident","length","mismatch","gapopen","qstart","qend","sstart","send","evalue","bitscore","staxids","Range"
"Camel_MERS-CoV","SARS_CoV1_E2",34.886,1052,614,28,22361,25471,250,1245,4.45e-171,558,77,995
"Camel_MERS-CoV","SARS_CoV1_AS",34.886,1052,614,28,22361,25471,250,1245,9.55e-171,557,66,995
"Camel_MERS-CoV","SARS_CoV2_Wuhan-Hu",35.005,1057,611,28,22361,25471,263,1263,4.88e-166,544,55,1000
"Camel_MERS-CoV","SARS_CoV2_Wuhan-Hu",29.688,64,41,2,26479,26664,188,249,2.3,25.8,55,61
"Camel_MERS-CoV","SARS-CoV-2_iso1",34.816,1057,613,28,22361,25471,263,1263,1.03e-164,540,44,1000
"Camel_MERS-CoV","SARS-CoV-2_iso1",29.688,64,41,2,26479,26664,188,249,2.4,25.4,44,61
"Camel_MERS-CoV","Bat_coronavirus",34.405,1058,612,26,22361,25471,263,1259,9.48e-164,537,22,996
"Camel_MERS-CoV","Pangolin_coronavirus",33.049,1171,678,33,22088,25471,148,1255,5.45e-163,535,33,1107
"Pangolin_coronavirus","Pangolin_coronavirus",100,1252,0,0,21460,25215,14,1265,0,2531,33,1251
"Pangolin_coronavirus","SARS_CoV2_Wuhan-Hu",90.563,1261,110,4,21460,25215,13,1273,0,2310,55,1260
"Pangolin_coronavirus","SARS-CoV-2_iso1",90.167,1261,115,4,21460,25215,13,1273,0,2298,44,1260
"Pangolin_coronavirus","Bat_coronavirus",89.817,1257,123,3,21460,25215,13,1269,0,2292,22,1256
"Pangolin_coronavirus","SARS_CoV1_AS",77.053,1242,268,6,21499,25215,28,1255,0,1954,66,1227
"Pangolin_coronavirus","SARS_CoV1_E2",76.973,1242,269,6,21499,25215,28,1255,0,1953,77,1227
"Pangolin_coronavirus","Camel_MERS-CoV",33.275,1136,653,32,21862,25083,220,1312,9.97e-159,525,11,1092
"Pangolin_coronavirus","Camel_MERS-CoV",44.444,27,15,0,22133,22053,869,895,8.7,23.9,11,26
"Pangolin_coronavirus","MERS_Betacoronavirus_England_1",33.275,1136,653,32,21862,25083,220,1312,1.24e-158,524,99,1092
"Pangolin_coronavirus","MERS_Betacoronavirus_England_1",24.176,91,50,3,16699,16926,78,164,7.3,23.9,99,86
"Pangolin_coronavirus","MERS_Betacoronavirus_England_1",44.444,27,15,0,22133,22053,869,895,8.9,23.9,99,26
"Pangolin_coronavirus","MERS_coronavirus",33.187,1136,654,32,21862,25083,220,1312,5.17e-158,523,88,1092
"Pangolin_coronavirus","MERS_coronavirus",24.176,91,50,3,16699,16926,78,164,7.3,23.9,88,86
"Pangolin_coronavirus","MERS_coronavirus",44.444,27,15,0,22133,22053,869,895,8.9,23.9,88,26
"SARS_CoV1_AS","SARS_CoV1_AS",100,1255,0,0,21476,25240,1,1255,0,2504,66,1254
"SARS_CoV1_AS","SARS_CoV1_E2",99.92,1255,1,0,21476,25240,1,1255,0,2503,77,1254
"SARS_CoV1_AS","Bat_coronavirus",74.65,1286,278,9,21476,25240,1,1269,0,1936,22,1268
"SARS_CoV1_AS","SARS_CoV2_Wuhan-Hu",74.031,1290,283,10,21476,25240,1,1273,0,1922,55,1272
"SARS_CoV1_AS","SARS-CoV-2_iso1",73.721,1290,287,10,21476,25240,1,1273,0,1909,44,1272
"SARS_CoV1_AS","Pangolin_coronavirus",74.98,1255,271,8,21557,25240,27,1265,0,1896,33,1238
"SARS_CoV1_AS","Pangolin_coronavirus",26.087,92,62,2,18149,18421,178,264,4.3,24.6,33,86
"SARS_CoV1_AS","Camel_MERS-CoV",34.886,1052,614,28,22223,25210,311,1347,5.37e-161,531,11,1036
"SARS_CoV1_AS","MERS_coronavirus",34.791,1052,615,28,22223,25210,311,1347,2.03e-158,524,88,1036
"SARS_CoV1_AS","MERS_coronavirus",24.176,91,50,3,16754,16981,78,164,7.5,23.9,88,86
"SARS_CoV1_AS","MERS_Betacoronavirus_England_1",34.791,1052,615,28,22223,25210,311,1347,2.97e-158,523,99,1036
"SARS_CoV1_AS","MERS_Betacoronavirus_England_1",24.176,91,50,3,16754,16981,78,164,7.6,23.9,99,86
"SARS-CoV-2_iso1","SARS_CoV2_Wuhan-Hu",99.604,1262,5,0,21554,25339,12,1273,0,2545,55,1261
"SARS-CoV-2_iso1","SARS_CoV2_Wuhan-Hu",31.884,69,43,3,14333,14139,782,850,6.2,24.3,55,68
"SARS-CoV-2_iso1","SARS-CoV-2_iso1",100,1262,0,0,21554,25339,12,1273,0,2541,44,1261
"SARS-CoV-2_iso1","Bat_coronavirus",96.989,1262,34,1,21554,25339,12,1269,0,2469,22,1257
"SARS-CoV-2_iso1","Bat_coronavirus",31.884,69,43,3,14333,14139,778,846,6.2,24.3,22,68
"SARS-CoV-2_iso1","Pangolin_coronavirus",90.095,1262,116,4,21554,25339,13,1265,0,2298,33,1252
"SARS-CoV-2_iso1","Pangolin_coronavirus",31.884,69,43,3,14333,14139,774,842,6.2,24.3,33,68
"SARS-CoV-2_iso1","SARS_CoV1_AS",76.72,1250,267,7,21596,25339,28,1255,0,1963,66,1227
"SARS-CoV-2_iso1","SARS_CoV1_E2",76.64,1250,268,7,21596,25339,28,1255,0,1961,77,1227
"SARS-CoV-2_iso1","MERS_Betacoronavirus_England_1",35.127,1022,588,27,22307,25207,311,1312,1.51e-160,530,99,1001
"SARS-CoV-2_iso1","MERS_Betacoronavirus_England_1",24.176,91,50,3,16798,17025,78,164,7.9,23.9,99,86
"SARS-CoV-2_iso1","Camel_MERS-CoV",35.127,1022,588,27,22307,25207,311,1312,2.48e-160,529,11,1001
"SARS-CoV-2_iso1","MERS_coronavirus",35.029,1022,589,27,22307,25207,311,1312,1.36e-159,527,88,1001
"SARS-CoV-2_iso1","MERS_coronavirus",24.176,91,50,3,16798,17025,78,164,7.9,23.9,88,86
"MERS_Betacoronavirus_England_1","MERS_Betacoronavirus_England_1",100,1353,0,0,21455,25513,1,1353,0,2806,99,1352
"MERS_Betacoronavirus_England_1","MERS_Betacoronavirus_England_1",27.5,40,29,0,5096,5215,1124,1163,6.1,24.3,99,39
"MERS_Betacoronavirus_England_1","MERS_coronavirus",99.852,1353,2,0,21455,25513,1,1353,0,2800,88,1352
"MERS_Betacoronavirus_England_1","MERS_coronavirus",27.5,40,29,0,5096,5215,1124,1163,6.1,24.3,88,39
"MERS_Betacoronavirus_England_1","Camel_MERS-CoV",99.039,1353,13,0,21455,25513,1,1353,0,2774,11,1352
"MERS_Betacoronavirus_England_1","Camel_MERS-CoV",27.5,40,29,0,5096,5215,1124,1163,6.6,24.3,11,39
"MERS_Betacoronavirus_England_1","SARS_CoV1_E2",34.535,1054,615,26,22385,25495,250,1245,1.27e-168,551,77,995
"MERS_Betacoronavirus_England_1","SARS_CoV1_E2",37.838,37,20,1,21983,21873,163,196,9.7,23.5,77,33
"MERS_Betacoronavirus_England_1","SARS_CoV1_AS",34.535,1054,615,26,22385,25495,250,1245,3.22e-168,550,66,995
"MERS_Betacoronavirus_England_1","SARS_CoV1_AS",37.838,37,20,1,21983,21873,163,196,9.7,23.5,66,33
"MERS_Betacoronavirus_England_1","SARS_CoV2_Wuhan-Hu",35.005,1057,611,28,22385,25495,263,1263,2.73e-166,545,55,1000
"MERS_Betacoronavirus_England_1","SARS_CoV2_Wuhan-Hu",29.688,64,41,2,26503,26688,188,249,2.4,25.8,55,61
"MERS_Betacoronavirus_England_1","SARS-CoV-2_iso1",34.816,1057,613,28,22385,25495,263,1263,9.57e-165,540,44,1000
"MERS_Betacoronavirus_England_1","SARS-CoV-2_iso1",29.688,64,41,2,26503,26688,188,249,2.5,25.4,44,61
"MERS_Betacoronavirus_England_1","Pangolin_coronavirus",33.049,1171,678,33,22112,25495,148,1255,3.02e-163,535,33,1107
"MERS_Betacoronavirus_England_1","Bat_coronavirus",34.342,1057,614,26,22385,25495,263,1259,3.17e-163,535,22,996
"MERS_coronavirus","MERS_coronavirus",100,1353,0,0,21456,25514,1,1353,0,2805,88,1352
"MERS_coronavirus","MERS_coronavirus",27.5,40,29,0,5097,5216,1124,1163,6,24.3,88,39
"MERS_coronavirus","MERS_Betacoronavirus_England_1",99.852,1353,2,0,21456,25514,1,1353,0,2800,99,1352
"MERS_coronavirus","MERS_Betacoronavirus_England_1",27.5,40,29,0,5097,5216,1124,1163,6.1,24.3,99,39
"MERS_coronavirus","Camel_MERS-CoV",99.187,1353,11,0,21456,25514,1,1353,0,2777,11,1352
"MERS_coronavirus","Camel_MERS-CoV",27.5,40,29,0,5097,5216,1124,1163,6.7,24.3,11,39
"MERS_coronavirus","SARS_CoV1_E2",34.791,1052,615,28,22386,25496,250,1245,1.1e-168,551,77,995
"MERS_coronavirus","SARS_CoV1_E2",37.838,37,20,1,21984,21874,163,196,9.7,23.5,77,33
"MERS_coronavirus","SARS_CoV1_AS",34.791,1052,615,28,22386,25496,250,1245,2.11e-168,550,66,995
"MERS_coronavirus","SARS_CoV1_AS",37.838,37,20,1,21984,21874,163,196,9.7,23.5,66,33
"MERS_coronavirus","SARS_CoV2_Wuhan-Hu",34.91,1057,612,28,22386,25496,263,1263,2.01e-165,542,55,1000
"MERS_coronavirus","SARS_CoV2_Wuhan-Hu",29.688,64,41,2,26504,26689,188,249,2.2,25.8,55,61
"MERS_coronavirus","SARS-CoV-2_iso1",34.721,1057,614,28,22386,25496,263,1263,6.71e-164,538,44,1000
"MERS_coronavirus","SARS-CoV-2_iso1",29.688,64,41,2,26504,26689,188,249,2.3,25.8,44,61
"MERS_coronavirus","Bat_coronavirus",34.216,1058,614,26,22386,25496,263,1259,9.89e-163,534,22,996
"MERS_coronavirus","Pangolin_coronavirus",32.963,1171,679,33,22113,25496,148,1255,1.93e-162,533,33,1107
"SARS_CoV1_E2","SARS_CoV1_E2",100,1255,0,0,21492,25256,1,1255,0,2504,77,1254
"SARS_CoV1_E2","SARS_CoV1_AS",99.92,1255,1,0,21492,25256,1,1255,0,2503,66,1254
"SARS_CoV1_E2","Bat_coronavirus",74.572,1286,279,9,21492,25256,1,1269,0,1934,22,1268
"SARS_CoV1_E2","SARS_CoV2_Wuhan-Hu",73.953,1290,284,10,21492,25256,1,1273,0,1921,55,1272
"SARS_CoV1_E2","SARS-CoV-2_iso1",73.643,1290,288,10,21492,25256,1,1273,0,1909,44,1272
"SARS_CoV1_E2","Pangolin_coronavirus",74.9,1255,272,8,21573,25256,27,1265,0,1895,33,1238
"SARS_CoV1_E2","Pangolin_coronavirus",26.087,92,62,2,18165,18437,178,264,4.3,24.6,33,86
"SARS_CoV1_E2","Camel_MERS-CoV",34.886,1052,614,28,22239,25226,311,1347,2.59e-161,532,11,1036
"SARS_CoV1_E2","MERS_coronavirus",34.791,1052,615,28,22239,25226,311,1347,1.05e-158,525,88,1036
"SARS_CoV1_E2","MERS_coronavirus",24.176,91,50,3,16770,16997,78,164,7.5,23.9,88,86
"SARS_CoV1_E2","MERS_Betacoronavirus_England_1",34.791,1052,615,28,22239,25226,311,1347,1.41e-158,524,99,1036
"SARS_CoV1_E2","MERS_Betacoronavirus_England_1",24.176,91,50,3,16770,16997,78,164,7.6,23.9,99,86
"SARS_CoV2_Wuhan-Hu","SARS_CoV2_Wuhan-Hu",100,1262,0,0,21596,25381,12,1273,0,2556,55,1261
"SARS_CoV2_Wuhan-Hu","SARS_CoV2_Wuhan-Hu",31.884,69,43,3,14375,14181,782,850,6.2,24.3,55,68
"SARS_CoV2_Wuhan-Hu","SARS-CoV-2_iso1",99.604,1262,5,0,21596,25381,12,1273,0,2545,44,1261
"SARS_CoV2_Wuhan-Hu","Bat_coronavirus",97.385,1262,29,1,21596,25381,12,1269,0,2481,22,1257
"SARS_CoV2_Wuhan-Hu","Bat_coronavirus",31.884,69,43,3,14375,14181,778,846,6.2,24.3,22,68
"SARS_CoV2_Wuhan-Hu","Pangolin_coronavirus",90.491,1262,111,4,21596,25381,13,1265,0,2311,33,1252
"SARS_CoV2_Wuhan-Hu","Pangolin_coronavirus",31.884,69,43,3,14375,14181,774,842,6.3,24.3,33,68
"SARS_CoV2_Wuhan-Hu","SARS_CoV1_AS",77.04,1250,263,7,21638,25381,28,1255,0,1974,66,1227
"SARS_CoV2_Wuhan-Hu","SARS_CoV1_E2",76.96,1250,264,7,21638,25381,28,1255,0,1973,77,1227
"SARS_CoV2_Wuhan-Hu","Camel_MERS-CoV",35.323,1022,586,27,22349,25249,311,1312,4.7e-162,535,11,1001
"SARS_CoV2_Wuhan-Hu","MERS_Betacoronavirus_England_1",35.323,1022,586,27,22349,25249,311,1312,6.52e-162,534,99,1001
"SARS_CoV2_Wuhan-Hu","MERS_Betacoronavirus_England_1",24.176,91,50,3,16840,17067,78,164,7.9,23.9,99,86
"SARS_CoV2_Wuhan-Hu","MERS_coronavirus",35.225,1022,587,27,22349,25249,311,1312,4.28e-161,531,88,1001
"SARS_CoV2_Wuhan-Hu","MERS_coronavirus",24.176,91,50,3,16840,17067,78,164,7.9,23.9,88,86
